7505330,1464105,172157,1,291630132,179782,33979788,840.625,840.625
5593545,1164478,188598,44888,305153126,26217,26863693,771.856,771.858
5327883,1141530,204520,45791,306810939,17654,25950987,763.442,763.966
5753923,1201743,186795,41660,306399316,24579,27609076,780.495,780.595
5274179,1166939,180298,51653,306034966,14476,25877155,760.336,760.732
6497685,1305086,181184,24409,300285089,51347,30508103,805.988,806.17
5600310,1220543,201260,36773,303617183,21745,27209440,773.301,774.082
7306814,1360943,158513,16282,298088283,93255,33228989,835.263,838.773
6321739,1277891,207880,20489,300382686,45460,29836858,799.763,838.747
-
7505330,1464105,172157,1,291630132,179782,33979788,840.625,840.625
5593545,1164478,188598,44888,305153126,26217,26863693,771.856,771.858
5327883,1141530,204520,45791,306810939,17654,25950987,763.442,763.966
5753923,1201743,186795,41660,306399316,24579,27609076,780.495,780.595
5274179,1166939,180298,51653,306034966,14476,25877155,760.336,760.732
6497685,1305086,181184,24409,300285089,51347,30508103,805.988,806.17
5600310,1220543,201260,36773,303617183,21745,27209440,773.301,774.082
7306814,1360943,158513,16282,298088283,93255,33228989,835.263,838.773
6321739,1277891,207880,20489,300382686,45460,29836858,799.763,838.747
-
7505330,1464105,172157,1,291630132,179782,33979788,840.625,840.625
5593545,1164478,188598,44888,305153126,26217,26863693,771.856,771.858
5327883,1141530,204520,45791,306810939,17654,25950987,763.442,763.966
5753923,1201743,186795,41660,306399316,24579,27609076,780.495,780.595
5274179,1166939,180298,51653,306034966,14476,25877155,760.336,760.732
6497685,1305086,181184,24409,300285089,51347,30508103,805.988,806.17
5600310,1220543,201260,36773,303617183,21745,27209440,773.301,774.082
7306814,1360943,158513,16282,298088283,93255,33228989,835.263,838.773
6321739,1277891,207880,20489,300382686,45460,29836858,799.763,838.747
-
