1841725,65,551695,46691,270956167,0,9753891,580.951,580.951
4689877,1222660,69705,65439,252753680,0,24174977,687.433,687.435
5156906,37149,35192,180038,326411630,0,21611915,732.689,733.214
1411769,1045068,475747,15767,288687017,0,11765056,614.49,614.607
1464049,1017713,473565,15647,284792483,0,11867680,611.543,612.149
1024951,1489148,354244,9419,248500081,0,11506682,570.508,570.635
1038227,1463406,359317,9376,248483085,0,11476838,570.312,570.928
-
1841725,65,551695,46691,270956167,0,9753891,580.951,580.951
4689877,1222660,69705,65439,252753680,0,24174977,687.433,687.435
5156906,37149,35192,180038,326411630,0,21611915,732.689,733.214
1411769,1045068,475747,15767,288687017,0,11765056,614.49,614.607
1464049,1017713,473565,15647,284792483,0,11867679,611.543,612.149
1024951,1489148,354244,9419,248500081,0,11506682,570.508,570.635
1038227,1463406,359317,9376,248483085,0,11476838,570.312,570.928
-
1841725,65,551695,46691,270956167,0,9753891,580.951,580.951
4689877,1222660,69705,65439,252753680,0,24174977,687.433,687.435
5156906,37149,35192,180038,326411630,0,21611915,732.689,733.214
1411769,1045068,475747,15767,288687017,0,11765056,614.49,614.607
1464049,1017713,473565,15647,284792483,0,11867679,611.543,612.149
1024951,1489148,354244,9419,248500081,0,11506682,570.508,570.635
1038227,1463406,359317,9376,248483085,0,11476838,570.312,570.928
-
