0,0,0,0,0,0,0,0,-nan,
1.14558e+06,398540,0,0,0,0,0,0,17.1809,
709247,494120,0,0,0,0,0,0,21.6824,
742857,503297,125,0,0,0,0,0,20.9736,
730669,507472,1178,0,0,0,0,0,21.0624,
731423,484203,0,0,0,0,0,0,21.0489,
727108,484083,0,0,0,0,0,0,21.0514,
-
0,0,0,0,0,0,0,0,-nan,
1.14558e+06,398540,0,0,0,0,0,0,17.1809,
709247,494120,0,0,0,0,0,0,21.6824,
742857,503297,125,0,0,0,0,0,20.9736,
730669,507472,1178,0,0,0,0,0,21.0624,
731423,484203,0,0,0,0,0,0,21.0489,
727108,484083,0,0,0,0,0,0,21.0514,
-
0,0,0,0,0,0,0,0,-nan,
1.14558e+06,398540,0,0,0,0,0,0,17.1809,
709247,494120,0,0,0,0,0,0,21.6824,
742857,503297,125,0,0,0,0,0,20.9736,
730669,507472,1178,0,0,0,0,0,21.0624,
731423,484203,0,0,0,0,0,0,21.0489,
727108,484083,0,0,0,0,0,0,21.0514,
-
