488851,260263,8107,177189,304882,45098,39526,133143,16.959,
425140,356091,24437,109458,229640,64696,23943,116953,17.3181,
469250,326614,25794,100817,216589,66398,20279,107157,17.1083,
431053,355961,31237,95039,200549,68352,23286,121251,16.8957,
443843,357755,29932,87142,197112,68241,19628,107926,17.1483,
365547,398824,53734,94967,181203,80000,26758,140379,16.4914,
390855,372848,41434,84510,180987,72474,22631,122544,16.8761,
329744,358657,53001,106257,181700,76902,35895,164802,16.609,
361991,394245,53301,99085,181841,76699,33556,160882,16.6696,
-
488851,260263,8107,177189,304882,45098,39526,133143,16.959,
425140,356091,24437,109458,229640,64696,23943,116953,17.3181,
469250,326614,25794,100817,216589,66398,20279,107157,17.1083,
431053,355961,31237,95039,200549,68352,23286,121251,16.8957,
443843,357755,29932,87142,197112,68241,19628,107926,17.1483,
365547,398824,53734,94967,181203,80000,26758,140379,16.4914,
390855,372848,41434,84510,180987,72474,22631,122544,16.8761,
329744,358657,53001,106257,181700,76902,35895,164802,16.609,
361991,394245,53301,99085,181841,76699,33556,160882,16.6696,
-
488851,260263,8107,177189,304882,45098,39526,133143,16.959,
425140,356091,24437,109458,229640,64696,23943,116953,17.3181,
469250,326614,25794,100817,216589,66398,20279,107157,17.1083,
431053,355961,31237,95039,200549,68352,23286,121251,16.8957,
443843,357755,29932,87142,197112,68241,19628,107926,17.1483,
365547,398824,53734,94967,181203,80000,26758,140379,16.4914,
390855,372848,41434,84510,180987,72474,22631,122544,16.8761,
329744,358657,53001,106257,181700,76902,35895,164802,16.609,
361991,394245,53301,99085,181841,76699,33556,160882,16.6696,
-
